file_name,entity_type,pred_text,pred_line,confidence,verdict
PMC10681723,GeneticModification,Spt16-TAP,1,1.0,supported
PMC10681723,GeneticModification,Flag-tagged,2,1.0,supported
PMC10681723,GeneticModification,GFP-tagged,3,1.0,supported
PMC10681723,Genotype,isogenic W303-1 background,4,1.0,supported
PMC10681723,MaterialType,cells,5,1.0,supported
PMC10681723,Organism,S. cerevisiae,6,1.0,supported
PMC10681723,Organism,Escherichia coli,7,1.0,supported
PMC10681723,Staining,coomassie brilliant blue (CBB) staining,8,1.0,supported
PMC10681723,Strain,W303-1,9,1.0,supported
PMC10681723,Strain,BL21(DE3) CodonPlus RIL,10,1.0,supported
PMC4746666,AcquisitionMethod,A data dependent mass spectrometric method,1,1.0,supported
PMC4746666,Age,40y,2,1.0,supported
PMC4746666,Age,39y,3,1.0,supported
PMC4746666,Age,27y,4,1.0,supported
PMC4746666,Age,20y,5,1.0,supported
PMC4746666,AlkylationReagent,iodoacetamide,6,1.0,supported
PMC4746666,CellLine,human embryonic stem cell line (hESC) ES04 (WiCell institute),7,1.0,supported
PMC4746666,CellPart,cytosolic (CYT),8,1.0,supported
PMC4746666,CellPart,nuclear (NUC),9,1.0,supported
PMC4746666,CellPart,chromatin-bound (CH),10,1.0,supported
PMC4746666,CellType,Mesenchymal stem cells (MSC),11,1.0,supported
PMC4746666,CellType,ESC-derived MSC,12,1.0,supported
PMC4746666,CellType,Bone marrow-derived mesenchymal stem cells,13,1.0,supported
PMC4746666,CellType,human embryonic stem cells (hESC),14,1.0,supported
PMC4746666,CleavageAgent,Lys-C,15,1.0,supported
PMC4746666,CleavageAgent,Trypsin/P,16,1.0,supported
PMC4746666,CollisionEnergy,(normalized collision energy 25),17,1.0,supported
PMC4746666,FlowRateChromatogram,250 nl/min,24,1.0,supported
PMC4746666,FractionationMethod,Subcellular fractionation,25,1.0,supported
PMC4746666,FractionationMethod,"in-solution isoelectric focusing (OFFGEL fractionator, Agilent)",26,1.0,supported
PMC4746666,FragmentMassTolerance,FTMS MS/MS tolerance 20 ppm,27,1.0,supported
PMC4746666,FragmentationMethod,higher energy collisional dissociation,28,1.0,supported
PMC4746666,GradientTime,from 10 to 60% mobile phase B over 100 min,29,1.0,supported
PMC4746666,Instrument,"Q Exactive mass spectrometer (Thermo Scientific, Bremen, Germany)",30,1.0,supported
PMC4746666,Label,SILAC,31,1.0,supported
PMC4746666,Label,“light” labeling,32,1.0,supported
PMC4746666,Label,L-lysine – U-13C615N2 (Lys8),33,1.0,supported
PMC4746666,Label,L-arginine – U-13C615N4 (Arg10),34,1.0,supported
PMC4746666,Label,L-lysine – U-13C415N0 (Lys4),35,1.0,supported
PMC4746666,Label,L-arginine – U-13C615N0 (Arg6),36,1.0,supported
PMC4746666,MaterialType,cells,37,1.0,supported
PMC4746666,Modification,N-terminal acetylation,38,1.0,supported
PMC4746666,Modification,methionine oxidation,39,1.0,supported
PMC4746666,Modification,cysteine carbamidomethylation,40,1.0,supported
PMC4746666,NumberOfBiologicalReplicates,3,41,1.0,supported
PMC4746666,NumberOfFractions,12 fractions,42,1.0,supported
PMC4746666,NumberOfMissedCleavages,maximum two missed cleavages,43,1.0,supported
PMC4746666,NumberOfTechnicalReplicates,36 MS runs per sample,44,1.0,supported
PMC4746666,NumberOfTechnicalReplicates,12 MS runs per sample,45,1.0,supported
PMC4746666,Organism,Homo Sapiens,46,1.0,supported
PMC4746666,OrganismPart,bone marrow,47,1.0,supported
PMC4746666,PrecursorMassTolerance,first search mass accuracy tolerance 20 ppm,48,1.0,supported
PMC4746666,PrecursorMassTolerance,main search mass accuracy tolerance 4.5 ppm,49,1.0,supported
PMC4746666,ReductionReagent,DTT,50,1.0,supported
PMC4746666,Separation,EASY nLC-II,51,1.0,supported
PMC4746666,Separation,ReproSil-Pur 120 C18-AQ 3 μ m diameter beads,52,0.91,supported
PMC4746666,Sex,male,53,1.0,supported
PMC4746666,Temperature,37 °C,54,1.0,supported
PMC5535869,AlkylationReagent,IAA,1,1.0,supported
PMC5535869,CleavageAgent,trypsin,2,1.0,supported
PMC5535869,DevelopmentalStage,mature pistils,3,1.0,supported
PMC5535869,DevelopmentalStage,three DAP,4,1.0,supported
PMC5535869,DevelopmentalStage,seven DAP,5,1.0,supported
PMC5535869,EnrichmentMethod,"incubated with pre-washed antibody beads (PTM Biolabs, Hangzhou, China) by gentle shaking at 4 °C overnight to enrich Kac peptides",6,1.0,supported
PMC5535869,FlowRateChromatogram,300 µL∙min−1,10,1.0,supported
PMC5535869,FragmentMassTolerance,0.02 Da,11,1.0,supported
PMC5535869,Instrument,"Q Exactive TM mass spectrometer (Thermo, Waltham, MA, USA)",12,1.0,supported
PMC5535869,Label,label-free,13,1.0,supported
PMC5535869,MaterialType,tissue,14,0.6,hallucinated
PMC5535869,Modification,acetylation on Lys protein N-terminal,15,1.0,supported
PMC5535869,Modification,carbamidomethylation on Cys,16,1.0,supported
PMC5535869,Modification,oxidation on Met,17,1.0,supported
PMC5535869,NumberOfBiologicalReplicates,3,18,1.0,supported
PMC5535869,NumberOfMissedCleavages,4 missing cleavages,19,1.0,supported
PMC5535869,Organism,Oryza sativa,20,1.0,supported
PMC5535869,OrganismPart,pistil,21,1.0,supported
PMC5535869,OrganismPart,seeds,22,1.0,supported
PMC5535869,PrecursorMassTolerance,10 ppm,23,1.0,supported
PMC5535869,ReductionReagent,DL-Dithiothreitol,24,1.0,supported
PMC5535869,Separation,"reversed-phase analytical column (Thermo, Waltham, MA, USA.)",25,1.0,supported
PMC5535869,Strain,Nipponbare,26,1.0,supported
PMC5830451,AcquisitionMethod,Data-dependent acquisition mode,1,1.0,supported
PMC5830451,AlkylationReagent,iodoacetamide (IAA),2,1.0,supported
PMC5830451,CellLine,HeLa cells (ATCC),3,1.0,supported
PMC5830451,CleavageAgent,Trypsin,4,1.0,supported
PMC5830451,CleavageAgent,Lys-C,5,1.0,supported
PMC5830451,CollisionEnergy,collision energy of 28%,6,1.0,supported
PMC5830451,Disease,type 1 diabetic,7,1.0,supported
PMC5830451,Disease,non-diabetic,8,1.0,supported
PMC5830451,FlowRateChromatogram,500 nL/min,11,1.0,supported
PMC5830451,FlowRateChromatogram,60 nL/min,12,1.0,supported
PMC5830451,FlowRateChromatogram,400 nL/min,13,1.0,supported
PMC5830451,FragmentMassTolerance,"20, 10, and 7 ppm",14,1.0,supported
PMC5830451,FragmentationMethod,high energy dissociation,15,1.0,supported
PMC5830451,GradientTime,A linear 150-min gradient,16,1.0,supported
PMC5830451,GradientTime,20 min,17,1.0,supported
PMC5830451,Instrument,Orbitrap Fusion Lumos Tribrid MS (ThermoFisher),18,1.0,supported
PMC5830451,IonizationType,Electrospray,19,1.0,supported
PMC5830451,Label,LFQ,20,1.0,supported
PMC5830451,MaterialType,cell line,21,0.82,partial
