Entity_Type,GT_File,GT_Text,GT_Line,Pred_File,Pred_Text,Pred_Line,Similarity,Match_Type
AcquisitionMethod,PMC4746666,data dependent,1,PMC4746666,A data dependent mass spectrometric method,1,0.9500,Semantic
AcquisitionMethod,PMC4746666,data dependent mass spectrometric method,6,PMC4746666,A data dependent mass spectrometric method,1,0.9500,Semantic
AcquisitionMethod,PMC5830451,Data-dependent acquisition,1,PMC5830451,Data-dependent acquisition mode,1,0.9500,Semantic
AcquisitionMethod,PMC7144211,data dependent,1,PMC7144211,data dependent acquisition,1,0.9500,Semantic
AcquisitionMethod,PMC7294662,data-dependent,1,PMC7294662,data-dependent auto-MS/MS mode,1,0.9500,Semantic
AcquisitionMethod,PMC7367873,data-dependent acquisition,1,PMC7367873,data-dependent acquisition,1,1.0000,Exact
AcquisitionMethod,PMC7921882,top 12 method,1,PMC7921882,top 12 method,1,1.0000,Exact
AcquisitionMethod,PMC8698288,data-dependent (dd) positive acquisition mode,1,PMC8698288,data-dependent (dd) positive acquisition mode,1,1.0000,Exact
Age,PMC4746666,40y,2,PMC4746666,40y,2,1.0000,Exact
Age,PMC4746666,39y,3,PMC4746666,39y,3,1.0000,Exact
Age,PMC4746666,27y,4,PMC4746666,27y,4,1.0000,Exact
Age,PMC4746666,20y,5,PMC4746666,20y,5,1.0000,Exact
AlkylationReagent,PMC4746666,iodoacetamide,7,PMC4746666,iodoacetamide,6,1.0000,Exact
AlkylationReagent,PMC5830451,iodoacetamide (IAA),2,PMC5830451,iodoacetamide (IAA),2,1.0000,Exact
AlkylationReagent,PMC7144211,iodoacetamide,2,PMC7144211,iodoacetamide,2,1.0000,Exact
AlkylationReagent,PMC7294662,iodoacetamide,2,PMC7294662,iodoacetamide,2,1.0000,Exact
AlkylationReagent,PMC7367873,chloroacetamide,2,PMC7367873,chloroacetamide,2,1.0000,Exact
AlkylationReagent,PMC7921882,iodoacetamide,2,PMC7921882,iodoacetamide,2,1.0000,Exact
CellLine,PMC4746666,hESC ES04 (WiCell institute),8,PMC4746666,human embryonic stem cell line (hESC) ES04 (WiCell institute),7,0.9300,DomainSemantic
CellLine,PMC5830451,HeLa cells (ATCC),3,PMC5830451,HeLa cells (ATCC),3,1.0000,Exact
CellLine,PMC7294662,HeLa,3,PMC7294662,HeLa,3,1.0000,Exact
CellLine,PMC7367873,HeLa Kyoto,3,PMC7367873,HeLa Kyoto,3,1.0000,Exact
CellPart,PMC4746666,cytosolic (CYT),9,PMC4746666,cytosolic (CYT),8,1.0000,Exact
CellPart,PMC4746666,nuclear (NUC),10,PMC4746666,nuclear (NUC),9,1.0000,Exact
CellPart,PMC4746666,chromatin-bound (CH),11,PMC4746666,chromatin-bound (CH),10,1.0000,Exact
CellType,PMC4746666,mesenchymal stem cells (MSC),12,PMC4746666,Mesenchymal stem cells (MSC),11,1.0000,Exact
CellType,PMC4746666,mesenchymal stem cells (MSC),12,PMC4746666,Bone marrow-derived mesenchymal stem cells,13,0.9300,DomainSemantic
CellType,PMC4746666,mesenchymal stem cells (MSC),12,PMC4746666,human embryonic stem cells (hESC),14,0.9300,DomainSemantic
CellType,PMC4746666,embryonic stem cells (ESC),13,PMC4746666,Mesenchymal stem cells (MSC),11,0.9300,DomainSemantic
CellType,PMC4746666,embryonic stem cells (ESC),13,PMC4746666,Bone marrow-derived mesenchymal stem cells,13,0.9300,DomainSemantic
CellType,PMC4746666,embryonic stem cells (ESC),13,PMC4746666,human embryonic stem cells (hESC),14,0.9300,DomainSemantic
CellType,PMC4746666,bone marrow-derived MSC (BM-MSC),14,PMC4746666,ESC-derived MSC,12,0.8800,TagContainment
CellType,PMC4746666,bone marrow-derived MSC (BM-MSC),14,PMC4746666,Bone marrow-derived mesenchymal stem cells,13,0.8800,TagContainment
CleavageAgent,PMC4746666,trypsin,15,PMC4746666,Trypsin/P,16,0.9500,Semantic
CleavageAgent,PMC4746666,Lys-C,16,PMC4746666,Lys-C,15,1.0000,Exact
CleavageAgent,PMC4746666,Trypsin/P,17,PMC4746666,Trypsin/P,16,1.0000,Exact
CleavageAgent,PMC5535869,trypsin,2,PMC5535869,trypsin,2,1.0000,Exact
CleavageAgent,PMC5535869,Trypsin/P,3,PMC5535869,trypsin,2,0.9500,Semantic
CleavageAgent,PMC5830451,trypsin (MS grade),4,PMC5830451,Trypsin,4,0.9500,Semantic
CleavageAgent,PMC5830451,Lys-C (MS grade),5,PMC5830451,Lys-C,5,0.9500,Semantic
CleavageAgent,PMC6918071,trypsin,1,PMC6918071,tryptic digest,1,0.9300,DomainSemantic
CleavageAgent,PMC7144211,Trypsin/Lys-C mix,3,PMC7144211,Trypsin/Lys-C mix,7,1.0000,Exact
CleavageAgent,PMC7294662,trypsin,5,PMC7294662,trypsin,6,1.0000,Exact
